dataset,corruption_type,corruption_ratio,seed,group,n_eval,auc,auc_drop,bce,bce_increase,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed
assist_09,sequence_shuffled_support,0.5,42,all,51090,0.7739128403248605,0.0010496712456310453,0.529742437258015,-0.0009432469744726779,0.7749625115704916,0.5306856842324876,13.268292427062988,True
assist_09,sequence_shuffled_support,0.5,42,graph_hits_history,50529,0.7736793717672447,0.0010550267056329554,0.5295484468734513,-0.0009332252769624905,0.7747343984728776,0.5304816721504138,13.268292427062988,True
assist_09,sequence_shuffled_support,0.5,42,high_support_mass,12637,0.7512932334607669,0.00044960801779847515,0.5038631593487998,-0.00035591763737263804,0.7517428414785654,0.5042190769861724,13.268292427062988,True
assist_09,sequence_shuffled_support,0.5,42,query_seq_top5_q4_high,12141,0.7967642003741587,0.0010268433440605573,0.4963050153721796,0.00016264502475565878,0.7977910437182193,0.4961423703474239,13.268292427062988,True
assist_09,sequence_shuffled_support,0.5,42,multi_concept,8419,0.7514756872307016,0.0002409842991275557,0.5482959019402278,-0.00029793331172045523,0.7517166715298291,0.5485938352519483,13.268292427062988,True
assist_09,sequence_shuffled_support,0.75,42,all,51090,0.7725509930766626,0.0024115184938289236,0.5304836727008098,-0.00020201153167787034,0.7749625115704916,0.5306856842324876,13.341463088989258,True
assist_09,sequence_shuffled_support,0.75,42,graph_hits_history,50529,0.7722341575844767,0.002500240888400951,0.5303057335574239,-0.00017593859298981052,0.7747343984728776,0.5304816721504138,13.341463088989258,True
assist_09,sequence_shuffled_support,0.75,42,high_support_mass,12637,0.7501959139134384,0.0015469275651269765,0.5042797938976102,6.071691143783031e-05,0.7517428414785654,0.5042190769861724,13.341463088989258,True
assist_09,sequence_shuffled_support,0.75,42,query_seq_top5_q4_high,12141,0.7959432665195083,0.001847777198710987,0.4951831816367222,-0.0009591887107017194,0.7977910437182193,0.4961423703474239,13.341463088989258,True
assist_09,sequence_shuffled_support,0.75,42,multi_concept,8419,0.7516194703885573,9.720114127187429e-05,0.548111847509085,-0.0004819877428632324,0.7517166715298291,0.5485938352519483,13.341463088989258,True
assist_09,sequence_shuffled_support,1.0,42,all,51090,0.7714339042167297,0.0035286073537618146,0.5296798101224488,-0.001005874110038829,0.7749625115704916,0.5306856842324876,13.50406551361084,True
assist_09,sequence_shuffled_support,1.0,42,graph_hits_history,50529,0.7711678100153326,0.0035665884575449835,0.5294826501075022,-0.0009990220429115793,0.7747343984728776,0.5304816721504138,13.50406551361084,True
assist_09,sequence_shuffled_support,1.0,42,high_support_mass,12637,0.7485752016115947,0.003167639866970662,0.5046686611227971,0.0004495841366246589,0.7517428414785654,0.5042190769861724,13.50406551361084,True
assist_09,sequence_shuffled_support,1.0,42,query_seq_top5_q4_high,12141,0.7962435492032535,0.0015474945149658303,0.49508482777674895,-0.0010575425706749741,0.7977910437182193,0.4961423703474239,13.50406551361084,True
assist_09,sequence_shuffled_support,1.0,42,multi_concept,8419,0.7514572096974567,0.0002594618323724651,0.5481138504166547,-0.0004799848352935454,0.7517166715298291,0.5485938352519483,13.50406551361084,True
assist_09,self_only_fallback,0.0,42,all,51090,0.7749625115704916,0.0,0.5306856842359903,3.5026426203899064e-12,0.7749625115704916,0.5306856842324876,12.95121955871582,True
assist_09,self_only_fallback,0.0,42,graph_hits_history,50529,0.7747343984728776,0.0,0.530481672153955,3.541278381646862e-12,0.7747343984728776,0.5304816721504138,12.95121955871582,True
assist_09,self_only_fallback,0.0,42,high_support_mass,12637,0.7517428414785654,0.0,0.5042190769981328,1.1960432644286811e-11,0.7517428414785654,0.5042190769861724,12.95121955871582,True
assist_09,self_only_fallback,0.0,42,query_seq_top5_q4_high,12141,0.7977910437182193,0.0,0.4961423703474239,0.0,0.7977910437182193,0.4961423703474239,12.95121955871582,True
